Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
01/07/2021 11:43:40.297,1955452,BM2V220 @313548,53119,D6FF55FFFAFB,-42,-171,-1030
01/07/2021 11:43:40.357,1955484,BM2V220 @313548,53125,CDFF57FFF8FB,-51,-169,-1032
01/07/2021 11:43:40.386,1955514,BM2V220 @313548,53132,DCFF54FFFEFB,-36,-172,-1026
01/07/2021 11:43:40.447,1955574,BM2V220 @313548,53138,DBFF52FFFBFB,-37,-174,-1029
01/07/2021 11:43:40.507,1955634,BM2V220 @313548,53144,D5FF5BFFF4FB,-43,-165,-1036
01/07/2021 11:43:40.537,1955664,BM2V220 @313548,53150,D0FF52FFF7FB,-48,-174,-1033
01/07/2021 11:43:40.597,1955724,BM2V220 @313548,53157,D3FF54FF00FC,-45,-172,-1024
01/07/2021 11:43:40.657,1955785,BM2V220 @313548,53163,CCFF55FFF2FB,-52,-171,-1038
01/07/2021 11:43:40.686,1955813,BM2V220 @313548,53169,D0FF55FF00FC,-48,-171,-1024
01/07/2021 11:43:40.747,1955874,BM2V220 @313548,53175,D5FF54FFFBFB,-43,-172,-1029
01/07/2021 11:43:40.807,1955934,BM2V220 @313548,53182,D3FF54FFF7FB,-45,-172,-1033
01/07/2021 11:43:40.837,1955964,BM2V220 @313548,53188,D6FF5AFFFAFB,-42,-166,-1030
01/07/2021 11:43:40.897,1956024,BM2V220 @313548,53194,D3FF57FFF4FB,-45,-169,-1036
01/07/2021 11:43:40.957,1956084,BM2V220 @313548,53200,D6FF57FF00FC,-42,-169,-1024
01/07/2021 11:43:40.986,1956113,BM2V220 @313548,53207,DCFF57FFFBFB,-36,-169,-1029
01/07/2021 11:43:41.046,1956173,BM2V220 @313548,53213,D5FF54FFFDFB,-43,-172,-1027
01/07/2021 11:43:41.107,1956234,BM2V220 @313548,53219,D6FF5AFF04FC,-42,-166,-1020
01/07/2021 11:43:41.137,1956264,BM2V220 @313548,53225,CFFF5AFFFBFB,-49,-166,-1029
01/07/2021 11:43:41.197,1956324,BM2V220 @313548,53232,DFFF57FF03FC,-33,-169,-1021
01/07/2021 11:43:41.257,1956384,BM2V220 @313548,53238,CCFF5EFF04FC,-52,-162,-1020
01/07/2021 11:43:41.286,1956413,BM2V220 @313548,53244,D8FF55FFFAFB,-40,-171,-1030
01/07/2021 11:43:41.347,1956474,BM2V220 @313548,53250,D3FF54FF04FC,-45,-172,-1020
01/07/2021 11:43:41.407,1956535,BM2V220 @313548,53257,D3FF5DFFFAFB,-45,-163,-1030
01/07/2021 11:43:41.437,1956574,BM2V220 @313548,53263,D6FF54FFF8FB,-42,-172,-1032
01/07/2021 11:43:41.497,1956624,BM2V220 @313548,53269,CDFF5BFFFBFB,-51,-165,-1029
01/07/2021 11:43:41.557,1956685,BM2V220 @313548,53275,D6FF5BFF01FC,-42,-165,-1023
01/07/2021 11:43:41.586,1956713,BM2V220 @313548,53282,D5FF5AFF04FC,-43,-166,-1020
01/07/2021 11:43:41.647,1956774,BM2V220 @313548,53288,BBFF67FF0CFC,-69,-153,-1012
01/07/2021 11:43:41.707,1956834,BM2V220 @313548,53294,9CFF99FFE8FB,-100,-103,-1048
01/07/2021 11:43:41.737,1956864,BM2V220 @313548,53300,A9FFC9FFC7FB,-87,-55,-1081
01/07/2021 11:43:41.797,1956924,BM2V220 @313548,53307,AEFFF4FF9BFB,-82,-12,-1125
01/07/2021 11:43:41.857,1956985,BM2V220 @313548,53313,01000A009AFB,1,10,-1126
01/07/2021 11:43:41.886,1957014,BM2V220 @313548,53319,7C00F4FFC8FB,124,-12,-1080
01/07/2021 11:43:41.947,1957075,BM2V220 @313548,53325,F000E5FF16FC,240,-27,-1002
01/07/2021 11:43:42.007,1957134,BM2V220 @313548,53332,5101E2FF72FC,337,-30,-910
01/07/2021 11:43:42.037,1957164,BM2V220 @313548,53338,9C01DFFFACFC,412,-33,-852
01/07/2021 11:43:42.097,1957224,BM2V220 @313548,53344,BC010600F7FC,444,6,-777
01/07/2021 11:43:42.157,1957284,BM2V220 @313548,53350,E001430036FD,480,67,-714
01/07/2021 11:43:42.186,1957313,BM2V220 @313548,53357,EC017C0053FD,492,124,-685
01/07/2021 11:43:42.247,1957374,BM2V220 @313548,53363,EF01990066FD,495,153,-666
01/07/2021 11:43:42.307,1957434,BM2V220 @313548,53369,ED01960057FD,493,150,-681
01/07/2021 11:43:42.337,1957464,BM2V220 @313548,53375,E101990032FD,481,153,-718
01/07/2021 11:43:42.396,1957523,BM2V220 @313548,53382,DD017900F4FC,477,121,-780
01/07/2021 11:43:42.456,1957583,BM2V220 @313548,53388,CE014900B7FC,462,73,-841
01/07/2021 11:43:42.486,1957614,BM2V220 @313548,53394,B901F7FF78FC,441,-9,-904
01/07/2021 11:43:42.546,1957673,BM2V220 @313548,53400,9F0194FF4EFC,415,-108,-946
01/07/2021 11:43:42.607,1957734,BM2V220 @313548,53407,630121FF42FC,355,-223,-958
01/07/2021 11:43:42.637,1957763,BM2V220 @313548,53413,2101D7FE2BFC,289,-297,-981
01/07/2021 11:43:42.697,1957823,BM2V220 @313548,53419,BE00BEFE21FC,190,-322,-991
01/07/2021 11:43:42.757,1957884,BM2V220 @313548,53425,7C00C5FEFAFB,124,-315,-1030
01/07/2021 11:43:42.786,1957913,BM2V220 @313548,53432,4900D1FEA4FB,73,-303,-1116
01/07/2021 11:43:42.846,1957973,BM2V220 @313548,53438,2A0049FF41FB,42,-183,-1215
01/07/2021 11:43:42.907,1958034,BM2V220 @313548,53444,3400ABFF4CFB,52,-85,-1204
01/07/2021 11:43:42.937,1958064,BM2V220 @313548,53450,3400D6FF79FB,52,-42,-1159
01/07/2021 11:43:42.997,1958124,BM2V220 @313548,53457,3600E4FF94FB,54,-28,-1132
01/07/2021 11:43:43.057,1958185,BM2V220 @313548,53463,5200D8FFB0FB,82,-40,-1104
01/07/2021 11:43:43.088,1958215,BM2V220 @313548,53469,9C00C0FFF4FB,156,-64,-1036
01/07/2021 11:43:43.147,1958274,BM2V220 @313548,53475,1A0196FF58FC,282,-106,-936
01/07/2021 11:43:43.207,1958334,BM2V220 @313548,53482,6F01E7FFF0FC,367,-25,-784
01/07/2021 11:43:43.237,1958364,BM2V220 @313548,53488,C9011B00EEFC,457,27,-786
01/07/2021 11:43:43.297,1958424,BM2V220 @313548,53494,E301ACFF8BFC,483,-84,-885
01/07/2021 11:43:43.356,1958484,BM2V220 @313548,53500,A50143FF0DFC,421,-189,-1011
01/07/2021 11:43:43.386,1958513,BM2V220 @313548,53507,2C014EFFC4FB,300,-178,-1084
01/07/2021 11:43:43.447,1958574,BM2V220 @313548,53513,C700B8FFB8FB,199,-72,-1096
01/07/2021 11:43:43.507,1958634,BM2V220 @313548,53519,DC00D2FFB6FB,220,-46,-1098
01/07/2021 11:43:43.537,1958664,BM2V220 @313548,53525,E500E5FFE3FB,229,-27,-1053
01/07/2021 11:43:43.597,1958724,BM2V220 @313548,53532,2A012400D4FB,298,36,-1068
01/07/2021 11:43:43.657,1958784,BM2V220 @313548,53538,290115009AFB,297,21,-1126
01/07/2021 11:43:43.686,1958813,BM2V220 @313548,53544,A600D8FFB6FB,166,-40,-1098
01/07/2021 11:43:43.747,1958874,BM2V220 @313548,53550,1200E7FFB3FB,18,-25,-1101
01/07/2021 11:43:43.807,1958934,BM2V220 @313548,53557,E5FF16009EFB,-27,22,-1122
01/07/2021 11:43:43.837,1958964,BM2V220 @313548,53563,0600210097FB,6,33,-1129
01/07/2021 11:43:43.897,1959024,BM2V220 @313548,53569,3A000400A6FB,58,4,-1114
01/07/2021 11:43:43.957,1959084,BM2V220 @313548,53575,C000C1FF16FC,192,-63,-1002
01/07/2021 11:43:43.986,1959113,BM2V220 @313548,53582,4E0197FF9CFC,334,-105,-868
01/07/2021 11:43:44.047,1959174,BM2V220 @313548,53588,9301AFFFEDFC,403,-81,-787
01/07/2021 11:43:44.107,1959234,BM2V220 @313548,53594,B601B7FF11FD,438,-73,-751
01/07/2021 11:43:44.137,1959263,BM2V220 @313548,53600,B901BEFFC6FC,441,-66,-826
01/07/2021 11:43:44.197,1959324,BM2V220 @313548,53607,B90197FF22FC,441,-105,-990
01/07/2021 11:43:44.257,1959384,BM2V220 @313548,53613,5F01A0FFA3FB,351,-96,-1117
01/07/2021 11:43:44.286,1959413,BM2V220 @313548,53619,A000A2FF9AFB,160,-94,-1126
01/07/2021 11:43:44.346,1959473,BM2V220 @313548,53625,2700C0FFA6FB,39,-64,-1114
01/07/2021 11:43:44.407,1959534,BM2V220 @313548,53632,0A00BDFF92FB,10,-67,-1134
01/07/2021 11:43:44.437,1959564,BM2V220 @313548,53638,6700B5FFDAFB,103,-75,-1062
01/07/2021 11:43:44.497,1959624,BM2V220 @313548,53644,FF0099FF3AFC,255,-103,-966
01/07/2021 11:43:44.557,1959683,BM2V220 @313548,53650,5C0184FFABFC,348,-124,-853
01/07/2021 11:43:44.586,1959713,BM2V220 @313548,53657,8C017EFFEDFC,396,-130,-787
01/07/2021 11:43:44.647,1959773,BM2V220 @313548,53663,990188FF00FD,409,-120,-768
01/07/2021 11:43:44.707,1959833,BM2V220 @313548,53669,9F0197FFC7FC,415,-105,-825
01/07/2021 11:43:44.737,1959863,BM2V220 @313548,53675,9F01A9FF37FC,415,-87,-969
01/07/2021 11:43:44.797,1959923,BM2V220 @313548,53682,6801B8FFB9FB,360,-72,-1095
01/07/2021 11:43:44.857,1959985,BM2V220 @313548,53688,DB00AEFFACFB,219,-82,-1108
01/07/2021 11:43:44.886,1960013,BM2V220 @313548,53694,2700A9FFD6FB,39,-87,-1066
01/07/2021 11:43:44.946,1960073,BM2V220 @313548,53700,DCFFC4FFC8FB,-36,-60,-1080
01/07/2021 11:43:45.006,1960133,BM2V220 @313548,53707,EBFFBAFF9BFB,-21,-70,-1125
01/07/2021 11:43:45.037,1960164,BM2V220 @313548,53713,3F00AEFFBFFB,63,-82,-1089
01/07/2021 11:43:45.097,1960224,BM2V220 @313548,53719,D80078FF19FC,216,-136,-999
01/07/2021 11:43:45.157,1960284,BM2V220 @313548,53725,330172FF8EFC,307,-142,-882
01/07/2021 11:43:45.186,1960313,BM2V220 @313548,53732,7A0163FFD5FC,378,-157,-811
01/07/2021 11:43:45.247,1960374,BM2V220 @313548,53738,89015DFFF0FC,393,-163,-784
01/07/2021 11:43:45.307,1960434,BM2V220 @313548,53744,930179FFC9FC,403,-135,-823
01/07/2021 11:43:45.337,1960464,BM2V220 @313548,53750,980178FF6AFC,408,-136,-918
01/07/2021 11:43:45.397,1960524,BM2V220 @313548,53757,720179FFE5FB,370,-135,-1051
01/07/2021 11:43:45.457,1960586,BM2V220 @313548,53763,F100A2FFACFB,241,-94,-1108
01/07/2021 11:43:45.486,1960613,BM2V220 @313548,53769,3F00A8FFD7FB,63,-88,-1065
01/07/2021 11:43:45.547,1960674,BM2V220 @313548,53775,BDFFA5FF03FC,-67,-91,-1021
01/07/2021 11:43:45.607,1960734,BM2V220 @313548,53782,A6FF9CFF1FFC,-90,-100,-993
01/07/2021 11:43:45.637,1960764,BM2V220 @313548,53788,A3FFA0FF1FFC,-93,-96,-993
01/07/2021 11:43:45.697,1960825,BM2V220 @313548,53794,9DFF93FF25FC,-99,-109,-987
01/07/2021 11:43:45.757,1960884,BM2V220 @313548,53800,9CFF96FF1CFC,-100,-106,-996
01/07/2021 11:43:45.786,1960913,BM2V220 @313548,53807,9FFF93FF24FC,-97,-109,-988
01/07/2021 11:43:45.847,1960973,BM2V220 @313548,53813,A3FF94FF21FC,-93,-108,-991
01/07/2021 11:43:45.907,1961034,BM2V220 @313548,53819,A5FF91FF1FFC,-91,-111,-993
01/07/2021 11:43:45.937,1961064,BM2V220 @313548,53825,B1FF91FF1BFC,-79,-111,-997
01/07/2021 11:43:45.997,1961124,BM2V220 @313548,53832,AFFF99FF16FC,-81,-103,-1002
01/07/2021 11:43:46.057,1961184,BM2V220 @313548,53838,A6FF9DFF1EFC,-90,-99,-994
01/07/2021 11:43:46.086,1961213,BM2V220 @313548,53844,A8FF9AFF1EFC,-88,-102,-994
01/07/2021 11:43:46.146,1961273,BM2V220 @313548,53850,9DFF94FF13FC,-99,-108,-1005
01/07/2021 11:43:46.207,1961333,BM2V220 @313548,53857,ACFF93FF13FC,-84,-109,-1005
01/07/2021 11:43:46.237,1961364,BM2V220 @313548,53863,A5FF8DFF16FC,-91,-115,-1002
01/07/2021 11:43:46.296,1961423,BM2V220 @313548,53869,85FF97FF09FC,-123,-105,-1015
01/07/2021 11:43:46.357,1961483,BM2V220 @313548,53875,66FFB2FFEEFB,-154,-78,-1042
01/07/2021 11:43:46.386,1961513,BM2V220 @313548,53882,70FFC9FFCEFB,-144,-55,-1074
01/07/2021 11:43:46.447,1961573,BM2V220 @313548,53888,7FFFDCFFCBFB,-129,-36,-1077
01/07/2021 11:43:46.507,1961634,BM2V220 @313548,53894,A0FFE1FF94FB,-96,-31,-1132
01/07/2021 11:43:46.537,1961663,BM2V220 @313548,53900,D5FF97FF80FB,-43,-105,-1152
01/07/2021 11:43:46.597,1961724,BM2V220 @313548,53907,5A0087FFB6FB,90,-121,-1098
01/07/2021 11:43:46.657,1961784,BM2V220 @313548,53913,CF0036FFCAFB,207,-202,-1078
01/07/2021 11:43:46.686,1961814,BM2V220 @313548,53919,8D0006FFE2FB,141,-250,-1054
01/07/2021 11:43:46.747,1961874,BM2V220 @313548,53925,EBFF6AFF43FC,-21,-150,-957
01/07/2021 11:43:46.807,1961934,BM2V220 @313548,53932,66FFA0FF0FFC,-154,-96,-1009
01/07/2021 11:43:46.837,1961964,BM2V220 @313548,53938,4BFFCAFFF2FB,-181,-54,-1038
01/07/2021 11:43:46.897,1962024,BM2V220 @313548,53944,55FFE4FFE3FB,-171,-28,-1053
01/07/2021 11:43:46.957,1962084,BM2V220 @313548,53950,52FFE2FFD6FB,-174,-30,-1066
01/07/2021 11:43:46.987,1962114,BM2V220 @313548,53957,75FFE2FFB9FB,-139,-30,-1095
01/07/2021 11:43:47.047,1962174,BM2V220 @313548,53963,B7FFB7FF8CFB,-73,-73,-1140
01/07/2021 11:43:47.107,1962234,BM2V220 @313548,53969,04008EFFAAFB,4,-114,-1110
01/07/2021 11:43:47.137,1962265,BM2V220 @313548,53975,AB007CFFB0FB,171,-132,-1104
01/07/2021 11:43:47.197,1962324,BM2V220 @313548,53982,C90045FFB0FB,201,-187,-1104
01/07/2021 11:43:47.257,1962384,BM2V220 @313548,53988,4B005AFFF7FB,75,-166,-1033
01/07/2021 11:43:47.286,1962413,BM2V220 @313548,53994,93FF8BFF00FC,-109,-117,-1024
01/07/2021 11:43:47.347,1962474,BM2V220 @313548,54000,55FFBEFFE3FB,-171,-66,-1053
01/07/2021 11:43:47.407,1962534,BM2V220 @313548,54007,5DFFDFFFD1FB,-163,-33,-1071
01/07/2021 11:43:47.437,1962564,BM2V220 @313548,54013,5EFFDFFFC1FB,-162,-33,-1087
01/07/2021 11:43:47.497,1962624,BM2V220 @313548,54019,8AFFE4FFB2FB,-118,-28,-1102
01/07/2021 11:43:47.557,1962684,BM2V220 @313548,54025,E2FFD6FF9DFB,-30,-42,-1123
01/07/2021 11:43:47.586,1962713,BM2V220 @313548,54032,4C00C9FF9EFB,76,-55,-1122
01/07/2021 11:43:47.647,1962774,BM2V220 @313548,54038,A90081FFB2FB,169,-127,-1102
01/07/2021 11:43:47.706,1962834,BM2V220 @313548,54044,A90018FFDFFB,169,-232,-1057
01/07/2021 11:43:47.737,1962864,BM2V220 @313548,54050,F9FF6DFFFDFB,-7,-147,-1027
01/07/2021 11:43:47.797,1962924,BM2V220 @313548,54057,6DFFB4FFD1FB,-147,-76,-1071
01/07/2021 11:43:47.857,1962984,BM2V220 @313548,54063,8BFFC6FFD7FB,-117,-58,-1065
01/07/2021 11:43:47.886,1963013,BM2V220 @313548,54069,8AFFCDFFD3FB,-118,-51,-1069
01/07/2021 11:43:47.947,1963074,BM2V220 @313548,54075,90FFCDFFDAFB,-112,-51,-1062
01/07/2021 11:43:48.007,1963134,BM2V220 @313548,54082,9CFFBEFFE6FB,-100,-66,-1050
01/07/2021 11:43:48.037,1963164,BM2V220 @313548,54088,99FFB5FFE0FB,-103,-75,-1056
01/07/2021 11:43:48.097,1963224,BM2V220 @313548,54094,99FFBBFFDDFB,-103,-69,-1059
01/07/2021 11:43:48.157,1963283,BM2V220 @313548,54100,9CFFB7FFD1FB,-100,-73,-1071
01/07/2021 11:43:48.186,1963313,BM2V220 @313548,54107,96FFBBFFDAFB,-106,-69,-1062
01/07/2021 11:43:48.246,1963373,BM2V220 @313548,54113,A2FFB8FFDDFB,-94,-72,-1059
01/07/2021 11:43:48.307,1963434,BM2V220 @313548,54119,9AFFC0FFDDFB,-102,-64,-1059
01/07/2021 11:43:48.337,1963463,BM2V220 @313548,54125,91FFB7FFE2FB,-111,-73,-1054
01/07/2021 11:43:48.397,1963524,BM2V220 @313548,54132,9CFFAFFFE2FB,-100,-81,-1054
01/07/2021 11:43:48.457,1963584,BM2V220 @313548,54138,96FFA9FFE6FB,-106,-87,-1050
01/07/2021 11:43:48.486,1963613,BM2V220 @313548,54144,8EFFA2FFEEFB,-114,-94,-1042
01/07/2021 11:43:48.547,1963674,BM2V220 @313548,54150,79FFA3FFEFFB,-135,-93,-1041
01/07/2021 11:43:48.607,1963734,BM2V220 @313548,54157,7CFF9DFFE9FB,-132,-99,-1047
01/07/2021 11:43:48.637,1963764,BM2V220 @313548,54163,88FF87FFE9FB,-120,-121,-1047
01/07/2021 11:43:48.697,1963825,BM2V220 @313548,54169,8DFF82FFE2FB,-115,-126,-1054
01/07/2021 11:43:48.757,1963884,BM2V220 @313548,54175,ACFF7CFFD9FB,-84,-132,-1063
01/07/2021 11:43:48.787,1963913,BM2V220 @313548,54182,C7FF7EFFD9FB,-57,-130,-1063
01/07/2021 11:43:48.846,1963973,BM2V220 @313548,54188,E2FF73FFD1FB,-30,-141,-1071
01/07/2021 11:43:48.907,1964034,BM2V220 @313548,54194,E4FF64FFF8FB,-28,-156,-1032
01/07/2021 11:43:48.937,1964064,BM2V220 @313548,54200,C1FF67FF0DFC,-63,-153,-1011
01/07/2021 11:43:48.997,1964124,BM2V220 @313548,54207,7CFF99FF2EFC,-132,-103,-978
01/07/2021 11:43:49.057,1964184,BM2V220 @313548,54213,19FF0A006AFC,-231,10,-918
01/07/2021 11:43:49.087,1964214,BM2V220 @313548,54219,C2FE66006DFC,-318,102,-915
01/07/2021 11:43:49.147,1964274,BM2V220 @313548,54225,B3FEB5005AFC,-333,181,-934
01/07/2021 11:43:49.207,1964334,BM2V220 @313548,54232,D4FEBE0055FC,-300,190,-939
01/07/2021 11:43:49.237,1964364,BM2V220 @313548,54238,F1FE8D003DFC,-271,141,-963
01/07/2021 11:43:49.297,1964425,BM2V220 @313548,54244,00FF01001BFC,-256,1,-997
01/07/2021 11:43:49.357,1964484,BM2V220 @313548,54250,0AFF6AFFF7FB,-246,-150,-1033
01/07/2021 11:43:49.387,1964514,BM2V220 @313548,54257,A6FF39FFFEFB,-90,-199,-1026
01/07/2021 11:43:49.447,1964574,BM2V220 @313548,54263,2B0037FF18FC,43,-201,-1000
01/07/2021 11:43:49.507,1964634,BM2V220 @313548,54269,8A0048FF0FFC,138,-184,-1009
01/07/2021 11:43:49.537,1964664,BM2V220 @313548,54275,C90076FFF5FB,201,-138,-1035
01/07/2021 11:43:49.597,1964724,BM2V220 @313548,54282,D60063FFFAFB,214,-157,-1030
01/07/2021 11:43:49.657,1964784,BM2V220 @313548,54288,BE0048FFE8FB,190,-184,-1048
01/07/2021 11:43:49.686,1964813,BM2V220 @313548,54294,550069FFE3FB,85,-151,-1053
